State,Metropolitan Area,Masjid Name,Masjid Location,Phone Number
Alberta,Calgary Metro,Calgary Southwest Masjid,"5615 14th Avenue SW, Calgary, AB",(403) 242-1615
Alberta,Calgary Metro,Islamic Information Society of Calgary,"207 4th Street NE, Calgary, AB",(403) 261-7601
Alberta,Calgary Metro,Downtown Masjid,"131 7th Avenue SW, Calgary, AB",
Alberta,Calgary Metro,South Musallah,"539 Queensland Drive SE, Calgary, AB",
Alberta,Calgary Metro,IISC Downtown Calgary Mosque,"1009 7th Ave SW, Calgary, AB",(403) 453-1330
Alberta,Calgary Metro,Akram Jomaa,"2612 37th Avenue NE, Calgary, AB",(403) 219-0991
Alberta,Calgary Metro,Lady Khadijah Musallah,"1440 17th Avenue SW, Calgary, AB",(403) 397-1275
Alberta,Calgary Metro,Musallah Al Huda,"104 5701 17th Avenue SE, Calgary, AB",(403) 667-4034
Alberta,Calgary Metro,Taravista Mussallah,"150 Taravista Drive NE, Calgary, AB",(403) 617-5246
Alberta,Calgary Metro,Lethbridge Islamic Centre,"501 13 Street South, Lethbridge, AB",(403) 328-8499
Alberta,Calgary Metro,Downtown Mussalla (Main),"225 8th Avenue SE, Calgary, AB",
Alberta,Calgary Metro,Brooks Masjid,"City Centre, Brooks, AB",(403) 362-3960
Alberta,Calgary Metro,Al Falah Musallah,"2640 52 Street NE, Calgary, AB",
Alberta,Calgary Metro,Musalla Ahlus-Sunnah,"3515 17 Avenue SE, Calgary, AB",(403) 714-0033
Alberta,Calgary Metro,Al-Salam Centre,"6415 Ranchview Drive NW, Calgary, AB",(403) 451-8861
Alberta,Calgary Metro,Al Madinah Calgary Islamic Assembly,"4616 80th Avenue NE, Calgary, AB",(403) 590-8200
Alberta,Edmonton Metro,Al Rashid Masjid,"13070 113th Street, Edmonton, AB",(780) 451-6694
Alberta,Edmonton Metro,Markaz ul Islam Mosque,"7907 36th Avenue, Edmonton, AB",(780) 450-6170
Alberta,Edmonton Metro,Muslim Community of Edmonton,"10721 86 Avenue NW, Edmonton, AB",(780) 432-0208
Alberta,Edmonton Metro,Sahaba Mosque,"9216 105th Avenue, Edmonton, AB",(780) 426-3632
Alberta,Edmonton Metro,Quba Masjid,"10210 118 Avenue NW, Edmonton, AB",(780) 426-6373
Alberta,Edmonton Metro,Masjid Noor,"3032 106 Street NW, Edmonton, AB",(780) 490-6800
Alberta,Edmonton Metro,Al Ikhwan Youth Center,"3442 93 Street NW, Edmonton, AB",(780) 463-3436
Alberta,Edmonton Metro,Rahma Masjid,"6102 172 Street NW, Edmonton, AB",(780) 443-3200
Alberta,Edmonton Metro,Khatam Al Anbiya Islamic Centre,"8313 Argyll Road NW, Edmonton, AB",(780) 757-2877
Alberta,Edmonton Metro,Al Rashid Mosque Museum,"7000 143rd Street, Edmonton, AB",(780) 807-1116
Alberta,Edmonton Metro,Salahuddeen Mosque,"195 Douglas Avenue, Red Deer, AB",(403) 342-5383
Alberta,Edmonton Metro,Wetaskiwin & Leduc Mosque,"5402 47Ath Avenue, Wetaskiwin, AB",(780) 352-4578
Alberta,Edmonton Metro,Al-Ameen Islamic Center,"5410 122nd Avenue, Edmonton, AB",(780) 471-5585
Alberta,Edmonton Metro,Majilis-E-Durood-O-Salam,"34th Avenue NW & 93rd Street NW, Edmonton, AB",(780) 660-0780
Alberta,Edmonton Metro,Michener Park Prayer Room,"1 Michener Park NW, Edmonton, AB",
Alberta,Edmonton Metro,Madina Masjid,"12842 52 Street NW, Edmonton, AB",(780) 498-2999
Alberta,Edmonton Metro,Dar al Sunnah ,"9228 144 Avenue NW, Edmonton, AB",(780) 761-3326
