State,Metropolitan Area,Masjid Name,Masjid Location,Phone Number
Alabama,Birmingham,Alabama Muslim Community Masjid,"740 Donald Parkway, Fairfield, AL",(205) 203-9454
Alabama,Birmingham,East Montgomery Islamic Center,"8786 Vaughn Road, Montgomery, AL",(334) 356-5040
Alabama,Birmingham,BIS Hoover Crescent Islamic Center,"2524 Hackberry Lane, Hoover, AL",(205) 879-4247
Alabama,Birmingham,BIS Homewood Masjid,"1810 25th Court South, Birmingham, AL",(205) 879-4247
Alabama,Birmingham,Masjidul Qur'an,"3424 26th Street North, Birmingham, AL",(205) 324-0212
Alabama,Birmingham,Anniston Islamic Center,"1921 McCall Drive, Anniston, AL",(256) 238-8613
Alabama,Birmingham,Gadsden Islamic Society,"108 9th Street South, Gadsden, AL",(256) 546-3082
Alabama,Birmingham,Islamic Society of Tuscaloosa,"1416 Paul W Bryant Drive, Tuscaloosa, AL",(205) 758-3382
Alabama,Birmingham,Madison Masjid,"105 West Dublin Drive, Madison, AL",(256) 772-8027
Alabama,Birmingham,BIS West Side Masjid,"4506 Gary Avenue, Fairfield, AL",(205) 879-4247
Alabama,Huntsville,Alabama Islamic Educational Center,"8200 Memorial Parkway NW, Huntsville, AL",(256) 489-2907
Alabama,Huntsville,Huntsville Islamic Center,"1645 Sparkman Drive NW, Huntsville, AL",(256) 721-1712
Alabama,Huntsville,Masjid Tauhid,"2518 Winchester Road NW, Huntsville, AL",(256) 851-6642
Alabama,Huntsville,Masjid Noor,"1209 Danville Road SW, Decatur, AL",(256) 654-4902
Alabama,Mobile,Islamic Center of Dothan,"211 Jeff Street, Dothan, AL",(334) 792-9186
Alabama,Mobile,Islamic American Center of Mobile,"6702 Old Shell Road, Mobile, AL",(251) 345-7300
Alabama,Mobile,Mobile Masjid of Al-Islam,"1559 Duval Street, Mobile, AL",(251) 473-4100
Alabama,Mobile,Masjid Al-Aqsa,"313 Houston Street, Mobile, AL",(251) 288-0751
Alabama,Mobile,Masjid Baitul Haqq,"509 Aurelia Street, Mobile, AL",(251) 391-9279
Alabama,Mobile,Islamic Society of Mobile,"63 East Drive, Mobile, AL",(251) 343-4695
Alabama,Montgomery,Tuskegee Islamic Community,"1103 South Main Street, Tuskegee, AL",(334) 724-9837
Alabama,Montgomery,Masjid Ash-Shura,"1902 Franklin Road, Tuskegee, AL",(334) 724-9827
Alabama,Montgomery,Masjid Qasim Bilal El-Amin,"2425 Lark Drive, Montgomery, AL",(334) 281-8474
Alabama,Montgomery,Muslim Center of Montgomery,"4340 South Court Street, Montgomery, AL",(334) 288-2128
Alabama,Montgomery,Auburn Islamic Center,"338 Armstrong Street, Auburn, AL",(334) 821-8307
Alabama,Montgomery,East Montgomery Islamic Society ,"3430 Kessinger Drive, Montgomery, AL",(334) 301-3812
Alaska,South Central Alaska,Ar-Rashid Masjid,"5841 Arctic Boulevard, Suite 202, Anchorage, AK",(907) 868-7868
Alaska,South Central Alaska,Islamic Community Center of Anchorage,"501 West International Airport Road, Suite 26, Anchorage, AK",(907) 248-7333
Alaska,South Central Alaska,The New Islamic Community of Anchorage ,"8005 Spring Street, Anchorage, AK",(907) 248-7333
Alaska,Southeast Alaska,Fairbanks Musallah,"3535 College Road, Fairbanks, AK",(907) 888-6182
Arizona,Border Areas,Islamic Center of Yuma,"200 West 24th Street, Yuma, AZ",(928) 783-4919
Arizona,Northern Arizona,Islamic Center of Bullhead City,"1715 Wolf Court, Bullhead City, AZ",(928) 758-9234
Arizona,Northern Arizona,Masjid Ibrahim,"2075 Airway Avenue, Kingman, AZ",(928) 757-8822
Arizona,Phoenix Metro,Islamic Center of the Northeast Valley,"12125 East Via Linda, Scottsdale, AZ",(602) 234-6123
Arizona,Phoenix Metro,Masjid Es Salam,"1071 North Alma School Road, Chandler, AZ",(480) 784-4627
Arizona,Phoenix Metro,Greenway Masjid,"6724 West Greenway Road, Peoria, AZ",(623) 792-5766
Arizona,Phoenix Metro,Masjid Al-Rahma,"2916 East McDowell Road, Phoenix, AZ",(602) 463-2569
Arizona,Phoenix Metro,Islamic Center of North Phoenix,"9026 North 9th Street, Phoenix, AZ",(602) 595-7720
Arizona,Phoenix Metro,West Valley Islamic Center,"10320 West McDowell Road, Avondale, AZ",(623) 907-1324
Arizona,Phoenix Metro,Masjid Bilal Ibn Rabah,"44370 West Arizona Avenue, Maricopa, AZ",(602) 312-7193
Arizona,Phoenix Metro,Islamic Education Foundation of Arizona,"2810 South 24th Street, Phoenix, AZ",(623) 738-4392
Arizona,Phoenix Metro,Muslim Community Mosque,"1818 North 32nd Street, Phoenix, AZ",(602) 306-4959
Arizona,Phoenix Metro,Islamic Cultural Center,"131 East 6th Street, Tempe, AZ",(480) 894-6070
Arizona,Phoenix Metro,Al Mahdi Center,"1016 South River Drive, Tempe, AZ",(480) 557-9699
Arizona,Phoenix Metro,Masjid Jauharatul-Islam,"102 West South Mountain Avenue, Phoenix, AZ",(602) 268-6151
Arizona,Phoenix Metro,Islamic Center of the East Valley,"425 North Alma School Road, Chandler, AZ",(480) 966-6115
Arizona,Phoenix Metro,Masjid-el-Noor,"55 North Matlock Street, Mesa, AZ",(480) 644-0074
Arizona,Phoenix Metro,Albasheer Islamic Foundation,"6523 North Black Canyon Highway, Phoenix, AZ",(602) 207-8330
Arizona,Phoenix Metro,Al-Mustafa Masjid,"24038 South Val Vista Drive, Chandler, AZ",(623) 261-8841
Arizona,Phoenix Metro,Islamic Center of Laveen,"5001 West Dobbins Road, Laveen, AZ",(623) 261-9384
Arizona,Phoenix Metro,Prescott Islamic Center,"2200 East Hillsdale Road, Prescott, AZ",(623) 910-8332
Arizona,Phoenix Metro,Gilbert Islamic Center,"1652 North Higley Road, Gilbert, AZ",(480) 361-5089
Arizona,Phoenix Metro,United Islamic Center of Arizona ,"19250 North 35th Avenue, Glendale, AZ",(623) 869-6890
Arizona,Phoenix Metro,Islamic Education Foundation of Arizona,"2434 East Southern Avenue, Mesa, AZ",(706) 580-9506
Arizona,Phoenix Metro,Arizona Cultural Academy Mosque,"7810 South 42nd Place, Phoenix, AZ",(321) 795-7236
Arizona,Phoenix Metro,ICC of Phoenix (New Building),"2515 West State Avenue, Phoenix, AZ",(602) 249-0496
Arizona,Phoenix Metro,Masjid Abu Bakar,"1017 South 88th Street, Mesa, AZ",(480) 986-9106
Arizona,Phoenix Metro,Islamic Community Center of Phoenix,"2501 West Vista Avenue, Phoenix, AZ",(602) 249-0496
Arizona,Phoenix Metro,Islamic Center of North Phoenix,"13246 North 23rd Avenue, Phoenix, AZ",(602) 371-3440
Arizona,Tucson Metro,Muslim Community Center of Tucson,"5100 North Kevy Place, Tucson, AZ",(520) 302-1325
Arizona,Tucson Metro,Husainiya Center of Tucson,"702 East Joan Place, Tucson, AZ",(520) 709-2990
Arizona,Tucson Metro,Islamic Center of Tucson,"6383 East 22nd Street, Tucson, AZ",(520) 624-3233
Arkansas,Little Rock,Noor Al Zahra Islamic Education Center,"1100 North University Avenue, Little Rock, AR",(210) 347-2640
Arkansas,Little Rock,Islamic Center of Little Rock,"3224 Anna Street, Little Rock, AR",(501) 565-4930
Arkansas,Little Rock,Islamic Center for Human Excellence,"1717 Wright, Little Rock, AR",(501) 372-1942
Arkansas,Little Rock,Muslim Center of Conway,"1715 South Blvd., Conway, AR",(501) 450-7292
Arkansas,Little Rock,Islamic Center of Pine Bluff,"3707 West Hepburn Street, Pine Bluff, AR",(870) 536-8413
Arkansas,Little Rock,Islamic Center of Russellville,"2001 West Parkway Drive, Russellville, AR",(479) 857-1241
Arkansas,Northeast Arkansas,Blytheville Masjid,"111 South Division Street, Blytheville, AR",(870) 780-6222
Arkansas,Northwest Arkansas,Islamic Center of North-West Arkansas,"1420 West Center Street, Fayetteville, AR",(479) 442-4155
Arkansas,Northwest Arkansas,Heartsong Retreat Center,"HC 62 Box 830, Deer, AR",(870) 428-5503
Arkansas,Northwest Arkansas,Fort Smith Islamic Center,"1800 Albert Pike, Fort Smith, AR",(479) 783-2914
Arkansas,Northwest Arkansas,Masjid Tawhid,"3030 Main Street, Noel, MO",(417) 658-6359
California,High Desert,Islamic Center of Santa Clarita Valley,"28808 San Francisquito Canyon Road, Santa Clarita, CA",(661) 998-3439
California,High Desert,American Islamic Institute of Antelope Valley,"1125 East Palmdale Blvd, Palmdale, CA",(661) 224-1111
California,High Desert,Islamic Cemetery & Masjid,"12700 Morning Glory Road, Adelanto, CA",(760) 617-8099
California,High Desert,Al-Umma Center of Santa Clarita Valley,"18027 Sierra Highway, Santa Clarita, CA",(661) 532-8272
California,High Desert,Islamic Center of Northern Valley,"42554 4th Street East, Lancaster, CA",(805) 726-4749
California,High Desert,High Desert Islamic Society,"16793 Merrill Street, Victorville, CA",(909) 900-3076
California,High Desert,Islamic Center of Victor Valley,"15112 South Mojave Drive, Victorville, CA",(760) 560-3974
California,High Desert,Unity Center of Santa Clarita,"24352 Walnut Street, Santa Clarita, CA",(661) 259-9008
California,Inland Empire,Alnur Islamic Center,"4797 West Phillips Street, Ontario, CA",(909) 985-8867
California,Inland Empire,Islamic Center of Riverside,"1038 West Linden Street, Riverside, CA",(951) 684-5466
California,Inland Empire,Ar-Rehman Islamic Center,"7641 Sierra Avenue, Fontana, CA",(909) 355-4900
California,Inland Empire,Islamic Center Of Perris,"3895 North Perris Blvd., Perris, CA",(951) 443-3929
California,Inland Empire,ICNA Center,"3764 Ellis Street, Corona, CA",(855) 855-4262
California,Inland Empire,Islamic Center of the Inland Empire,"9212 Base Line Road, Rancho Cucamonga, CA",(909) 944-1836
California,Inland Empire,Islamic Society of Corona-Norco,"465 Santana Way, Corona, CA",(951) 736-8155
California,Inland Empire,Islamic Community Center of Redlands,"24769 Redlands Blvd, Loma Linda, CA",(909) 440-7368
California,Inland Empire,Islamic Center of Temecula Valley,"27715 Jefferson Avenue, Temecula, CA",(951) 600-4883
California,Inland Empire,Perris Islamic Center,"3895 North Perris Blvd., Perris, CA",(951) 443-3929
California,Inland Empire,Islamic Development Center of Moreno Valley,"24436 Webster Avenue, Moreno Valley, CA",(951) 247-8581
California,Inland Empire,Zainabia Islamic Society,"575 North Towne Avenue, Pomona, CA",(909) 622-5051
California,Inland Empire,Masjid Hemet,"44212 East Florida Avenue, Hemet, CA",(951) 312-0372
California,Inland Empire,Makki Masjid,"1959 North Macy Street, San Bernardino, CA",(951) 285-0052
California,Inland Empire,Masjid Alrahma,"12125 Day Street, Moreno Valley, CA",(951) 286-0983
California,Inland Empire,Inland Valley Islamic Society,"6556 Hemlock Avenue, Fontana, CA",(909) 743-4025
California,Inland Empire,Peace Academy,"609 Amigos Drive, Redlands, CA",(909) 746-8937
California,Inland Empire,MCC of Murrieta & Temecula Valley,"41866 Kalmia Street, Murrieta, CA",(951) 704-9997
California,Inland Empire,Islamic Center of Jurupa Valley,"10900 50th Street, Jurupa Valley, CA",(714) 493-4186
California,Inland Empire,Middle Ground,"870 North Mountain Avenue, Upland, CA",(909) 451-9770
California,Inland Empire,Dar al-Uloom al Islamiya of America,"2012 Mallory Street, Muscoy, CA",(909) 880-0201
California,Inland Empire,Islamic Center of Redlands,"11210 Alabama Street, Redlands, CA",(909) 792-0882
California,Orange County,Islamic Society of Orange County,"9752 13th Street, Garden Grove, CA",(714) 531-1722
California,Orange County,Tustin Masjid,"14712 Bentley Circle, Tustin, CA",(714) 838-2325
California,Orange County,Masjid Santa Ana,"1610 East First Street, Santa Ana, CA",(714) 285-1494
California,Orange County,Islamic Center of Yorba Linda,"4382 Eureka Avenue, Yorba Linda, CA",(714) 420-6299
California,Orange County,Masjid Al-Hedaye & Kavkaz Cultural Center,"5109 West 5th Street, Santa Ana, CA",(714) 554-8190
California,Orange County,Sayed Jamaludeen Afghan Islamic Center,"3635 West Valencia Drive, Fullerton, CA",(714) 392-9220
California,Orange County,Islamic Educational Center of Orange County,"3194-B Airport Loop Drive, Costa Mesa, CA",(714) 432-0060
California,Orange County,Orange County Islamic Foundation,"23581 Madero Drive, Mission Viejo, CA",(949) 595-0480
California,Orange County,Islamic Institute of Orange County,"1220 North State College Blvd, Anaheim, CA",(714) 533-6271
California,Orange County,West Coast Islamic Center,"1717 South Brookhurst Street, Anaheim, CA",(714) 535-1100
California,Orange County,Islamic Center of Cypress,"5900 Ball Road, Cypress, CA",(714) 220-1786
California,Orange County,Masjid al-Noor,"14522 Goldenwest Street, Westminster, CA",(714) 839-1661
California,Orange County,Bogazici Center,"13701 Beach Blvd, Westminster, CA",(714) 927-8062
California,Orange County,Jafaria Islamic Society,"1546 East La Palma Avenue, Anaheim, CA",(714) 473-8399
California,Orange County,Yaseen Educational Foundation OC,"2110 East First Street, Santa Ana, CA",(310) 862-4540
California,Orange County,Islamic Center of Fountain Valley,"16551 Brookhurst Street, Fountain Valley, CA",(714) 839-1661
California,Orange County,Islamic Center of Fullerton,"515 West Valencia Drive, Fullerton, CA",(714) 525-0135
California,Orange County,The Islamic Center of Anaheim,"1136 North Brookhurst Street, Anaheim, CA",(714) 999-2800
California,San Fernando Valley,Islamic Center of Conejo Valley,"2700 Borchard Road, Newbury Park, CA",(805) 499-2106
California,San Fernando Valley,Imam Bukhary Masjid,"15716 Parthenia Street, Los Angeles, CA",(818) 894-3025
California,San Fernando Valley,Islamic Center of Reseda,"18206 Victory Blvd., Los Angeles, CA",(818) 996-9116
California,San Fernando Valley,Fatima Islamic Society,"7252 Remmet Avenue, Los Angeles, CA",(818) 654-9729
California,San Fernando Valley,Islamic Center of Glendale,"700 South Adams Street, Glendale, CA",(424) 558-7620
California,San Fernando Valley,Masjid al-Rasool,"995 East Los Angeles Avenue, Simi Valley, CA",(917) 561-5519
California,San Fernando Valley,Islamic Center of Burbank,"7838 San Fernando Road, Sun Valley, CA",(818) 533-1376
California,San Fernando Valley,Islamic Society of West Valley,"7060 Owensmouth Avenue, Los Angeles, CA",(818) 514-4798
California,San Fernando Valley,Islamic Center of Northridge,"11439 Encino Avenue, Los Angeles, CA",(818) 360-3500
California,San Fernando Valley,ICN Tampa Islamic Center,"8424 Tampa Avenue, Los Angeles, CA",(818) 360-3500
California,San Fernando Valley,Islamic Society of Simi Valley,"4343 Township Avenue, Simi Valley, CA",(805) 328-4778
California,San Fernando Valley,Islamic Center of North Hollywood,"5114 Vineland Avenue, Los Angeles, CA",(818) 980-9325
California,San Gabriel Valley,Masjid Qurtabah,"1121 East Huntington Drive, Monrovia, CA",(626) 305-0077
California,San Gabriel Valley,Masjid Al-Nabi,"1505 West Garvey Avenue North, West Covina, CA",(626) 480-7878
California,San Gabriel Valley,Islamic Center of San Gabriel Valley,"19164 East Walnut Drive North, Rowland Heights, CA",(626) 964-3596
California,San Gabriel Valley,Masjid Al-Taqwa,"2183 North Lake Avenue, Altadena, CA",(626) 398-8392
California,San Gabriel Valley,Cham American Muslim Community,"805 South Garey Avenue, Pomona, CA",(909) 865-7833
California,San Gabriel Valley,Chino Valley Islamic Center,"4711 Chino Avenue, Chino, CA",(909) 786-1487
California,San Gabriel Valley,Ahlulbayt Mosque,"2155 Murchison Avenue, Pomona, CA",(909) 622-9158
California,San Gabriel Valley,Institute of Knowledge Mosque,"1009 Vía Sorella, Diamond Bar, CA",(909) 595-2401
California,San Gabriel Valley,Islamic Center of Inland,"1555 East 3rd Street, Pomona, CA",(909) 868-8811
California,San Gabriel Valley,Islamic Center of Claremont,"3641 North Garey Avenue, Pomona, CA",(909) 593-1865
California,San Gabriel Valley,Masjid Al-Fatiha,"210 North Citrus Avenue, Azusa, CA",(626) 815-8679
California,San Gabriel Valley,Masjid Gibrael,"1301 East Las Tunas Drive, San Gabriel, CA",(626) 285-2697
California,Santa Barbara & Ventura,Islamic Center of Ventura County,"525 South A Street, Oxnard, CA",(805) 486-8886
California,Santa Barbara & Ventura,Islamic Society of Santa Barbara,"302 North Los Carneros Road, Goleta, CA",(805) 317-4277
California,South & East LA,Islamic Center of Hawthorne,"12209 Hawthorne Way, Hawthorne, CA",(562) 427-2344
California,South & East LA,Islamic Center of Midcity,"12428 South Benedict Avenue, Downey, CA",(562) 940-1995
California,South & East LA,Torrance Islamic Center,"18103 Prairie Avenue, Torrance, CA",(310) 542-1714
California,South & East LA,Islamic Center of Inglewood,"820 Java Avenue, Inglewood, CA",(310) 672-0773
California,South & East LA,Madina Islamic Center,"12500 Firestone Blvd., Norwalk, CA",(562) 676-7351
California,South & East LA,Momin Lodge Islamic Center,"1918 Artesia Blvd, Torrance, CA",(310) 532-7755
California,South & East LA,Masjid Al-Rashid,"2212 East Compton Blvd., Compton, CA",(310) 537-3146
California,South & East LA,Masjid Bilal Ibn Rabah,"5450 Crenshaw Blvd., Los Angeles, CA",(323) 291-0105
California,South & East LA,Long Beach Islamic Center,"995 East 27th Street, Signal Hill, CA",(562) 754-1670
California,South & East LA,Shia Ithnaasheri Islamic Jamaat of Los Angeles,"7925 Serapis Avenue, Pico Rivera, CA",(562) 942-7442
California,South & East LA,Islamic Center of the South Bay,"25816 Walnut Street, Lomita, CA",(310) 534-1363
California,South & East LA,Masjid Al-Shareef,"2104 Orange Avenue, Long Beach, CA",(562) 591-5320
California,South & East LA,Masjid Al Rasul,"11211 South Central Avenue, Los Angeles, CA",(323) 567-7114
California,South & East LA,Masjid Al Salaam,"2900 West Florence Avenue, Los Angeles, CA",(213) 758-4033
California,South & East LA,Masjid As-Sabiqun,"4608 South Central Avenue, Los Angeles, CA",(323) 232-9055
California,South & East LA,Masjid Felix Bilal,"4016 South Central Avenue, Los Angeles, CA",(323) 233-7274
California,South & East LA,Baitul Mukarram Islamic Center,"12225 Centralia Street, Lakewood, CA",(562) 865-9242
California,South & East LA,El-Hussein Community Center,"6840 Gage Avenue, Bell, CA",(323) 773-3778
California,South & East LA,Islamic Center of Downtown Los Angeles,"852 Santee Street, Los Angeles, CA",(213) 382-9200
California,South & East LA,Islamic Center of Whittier,"6706 South Friends Avenue, Whittier, CA",(628) 818-0855
California,South & East LA,Masjid Al Zahra,"8152 Seville Avenue, South Gate, CA",(323) 835-0633
California,South & East LA,Masjid Al Rahma,"1117 West Manchester Blvd., Inglewood, CA",(424) 240-8119
California,South & East LA,Bab-Ul-Ilm Islamic Center,"5950 Heliotrope Circle, Maywood, CA",(323) 771-6339
California,South & East LA,Islamic Center of Bell,"5250 Gage Avenue, Bell, CA",(323) 562-8080
California,South & East LA,IQRA Academy of Palos Verdes,"704 Silver Spur Road, Rolling Hills Estates, CA",(310) 953-5255
California,South & East LA,Akber Mosque,"1013 San Julian Street, Los Angeles, CA",(714) 909-4059
California,South & East LA,Masjid Faatimah Az Zahra,"15012 Prairie Avenue, Hawthorne, CA",(480) 621-0096
California,South & East LA,La Mirada Masjid,"14225 Imperial Highway, La Mirada, CA",(562) 902-5999
California,South & East LA,Masjid Al-Falah,"4254 West 3rd Street, Los Angeles, CA",(213) 487-1556
California,Westside & Downtown,Masjid Omar Ibn Al Khattab,"1025 Exposition Blvd, Los Angeles, CA",(323) 733-9938
California,Westside & Downtown,Iranian Muslim Association of North America,"3376 Motor Avenue, Los Angeles, CA",(310) 202-8181
California,Westside & Downtown,King Fahd Mosque,"11004 Washington Blvd., Culver City, CA",(310) 202-0432
California,Westside & Downtown,Islamic Center of Southern California,"434 South Vermont Avenue, Los Angeles, CA",(213) 382-9200
California,Westside & Downtown,Masjid Ibaadillah,"2310 West Jefferson Blvd, Los Angeles, CA",(323) 734-9940
California,Westside & Downtown,California MUNA Center (CMC),"4430 Fountain Avenue, Los Angeles, CA",(213) 290-6862
California,Westside & Downtown,Islamic Center of Malibu,"1807 Latigo Canyon Road, Malibu, CA",(855) 906-3729
California,Westside & Downtown,United American Muslim Association,"10510 Rose Avenue, Los Angeles, CA",(310) 926-1446
California,Berkeley & Oakland,Islamic Center of Alameda,"901 Santa Clara Avenue, Alameda, CA",(510) 748-9052
California,Berkeley & Oakland,Masjidul Waritheen,"1700 47th Avenue, Oakland, CA",(510) 436-7755
California,Berkeley & Oakland,Masjid Abu-Bakr,"948 62nd Street, Oakland, CA",(510) 652-7716
California,Berkeley & Oakland,Islamic Cultural Center of Northern California,"1433 Madison Street, Oakland, CA",(510) 832-7600
California,Berkeley & Oakland,Quba Masjid,"707 Haight Avenue, Alameda, CA",(510) 337-1277
California,Berkeley & Oakland,Masjid International Wahadah,"4820 International Blvd., Oakland, CA",(510) 748-9052
California,Berkeley & Oakland,Berkeley Masjid,"2716 Derby Street, Berkeley, CA",(510) 549-9465
California,Berkeley & Oakland,Masjid Al-Iman,"5625 Shattuck Avenue, Oakland, CA",(510) 654-7542
